latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
51.07111,-120.31175,303,1.12,1.05,2024-03-28,1819,Terra,MODIS,47,6.1NRT,273.06,11.11,D
42.50324,-82.05654,302.51,1.07,1.03,2024-03-28,1913,Aqua,MODIS,52,6.1NRT,284.38,5.66,D
42.50163,-82.06933,303.27,1.07,1.03,2024-03-28,1913,Aqua,MODIS,55,6.1NRT,283.99,6.1,D
42.54297,-82.03944,301.92,1.07,1.03,2024-03-28,1913,Aqua,MODIS,50,6.1NRT,285.77,4.97,D
42.81239,-80.09812,303.66,1.28,1.12,2024-03-28,1913,Aqua,MODIS,52,6.1NRT,285.68,8.7,D
42.81247,-80.10502,303.12,1.28,1.12,2024-03-28,1913,Aqua,MODIS,55,6.1NRT,285.95,8.45,D
56.14509,-118.83389,304.81,1.14,1.06,2024-03-28,2053,Aqua,MODIS,60,6.1NRT,281.54,9.74,D
56.14164,-118.81491,300.96,1.3,1.13,2024-03-29,1900,Terra,MODIS,43,6.1NRT,281.83,8.59,D
